id	species
GCF_003294895.1	Aeromonas caviae
GCF_900636735.1	Pseudomonas aeruginosa
GCF_000832445.1	Bacillus anthracis
GCF_003432305.1	Escherichia coli
GCF_003864095.1	Escherichia albertii
GCF_000767665.1	Mycolicibacterium smegmatis
GCF_003546465.1	Burkholderia cepacia
GCF_000511355.1	Leisingera methylohalidivorans
GCF_001281365.1	Pseudomonas syringae
GCF_900698855.1	Candidatus Erwinia haradaeae
GCF_003691545.1	Vibrio owensii
GCF_003288095.1	Rhodococcus biphenylivorans
GCF_002531755.2	Rhizobium acidisoli
GCF_900635315.1	Staphylococcus aureus
GCF_004355285.1	Xanthomonas oryzae
GCF_001623805.1	Salmonella enterica
GCF_003354765.1	Staphylococcus aureus
GCF_002374815.1	Pseudoalteromonas atlantica
GCF_000266905.1	Mycolicibacterium chubuense
GCF_001638825.1	Deinococcus radiodurans
GCF_003403135.1	Dickeya dianthicola
GCF_900104965.1	Marmoricola scoriae
GCF_002224385.1	Campylobacter jejuni
GCF_900475665.1	Bordetella pertussis
GCF_002787315.1	Escherichia coli
GCF_002952035.2	Pantoea ananatis
GCF_005222145.1	Azospirillum brasilense
GCF_003367335.1	Mycolicibacterium neoaurum
GCF_002997975.1	Chlamydia muridarum
GCF_006716245.1	Streptococcus agalactiae
GCF_002213745.1	Listeria monocytogenes
GCF_002838345.1	Bifidobacterium breve
GCF_004367665.1	Burkholderia pseudomallei
GCF_000761215.1	Streptomyces glaucescens
GCF_000348845.1	Chlamydia trachomatis
GCF_000625815.2	Salmonella enterica
GCF_001019305.2	Staphylococcus aureus
GCF_002776885.1	Chlamydia trachomatis
GCF_001078615.1	Mycobacterium tuberculosis
GCF_000240075.2	Flavobacterium columnare
GCF_001987415.1	Bordetella pertussis
GCF_002848485.1	Listeria monocytogenes
GCF_002448035.1	Mycobacterium tuberculosis
GCF_001077475.1	Pseudomonas aeruginosa
GCF_002191335.1	Brucella melitensis
GCF_000971565.1	Agrobacterium tumefaciens
GCF_002838365.1	Bifidobacterium breve
GCF_002157125.1	Acidovorax carolinensis
GCF_008033175.1	Leuconostoc pseudomesenteroides
GCF_003717435.1	Salmonella enterica
GCF_001695735.1	Burkholderia pseudomallei
GCF_002848425.1	Listeria monocytogenes
GCF_003029785.1	Acidovorax avenae
GCF_000756145.1	Burkholderia pseudomallei
GCF_002075815.1	Neisseria meningitidis
GCF_003351805.1	Lactobacillus delbrueckii
GCF_001449005.1	Paraburkholderia caribensis
GCF_000292405.1	Mycoplasma genitalium
GCF_900474715.1	Staphylococcus aureus
GCF_009017315.1	Salmonella enterica
GCF_000445575.1	Mycobacterium tuberculosis
GCF_001752725.1	Legionella pneumophila
GCF_000335995.2	Salmonella enterica
GCF_001641975.2	Alcaligenes faecalis
GCF_008000855.1	Enterococcus faecium
GCF_000233875.1	Escherichia coli
GCF_007954725.1	Weissella hellenica
GCF_002947315.1	Providencia stuartii
GCF_900637825.1	Corynebacterium segmentosum
GCF_001482345.1	Klebsiella pneumoniae
GCF_902386925.1	Arabia massiliensis
GCF_003812645.1	Streptococcus pyogenes
GCF_001988855.1	Bordetella pertussis
GCF_000355675.1	Thalassolituus oleivorans
GCF_001767275.1	Pediococcus acidilactici
GCF_003609695.1	Mycobacterium marinum
GCF_000828035.1	Staphylococcus aureus
GCF_902166405.1	Enterobacter cloacae
GCF_000161435.1	Bacillus pseudomycoides
GCF_003515305.1	Ralstonia solanacearum
GCF_006542565.1	Burkholderia pseudomallei
GCF_000019985.1	Streptococcus pneumoniae
GCF_003004115.1	Legionella pneumophila
GCF_000568755.1	Borrelia coriaceae
GCF_000974865.1	Escherichia coli
GCF_900187125.1	Sphingobacterium mizutaii
GCF_000025125.1	Candidatus Atelocyanobacterium thalassa
GCF_001987055.1	Bordetella pertussis
GCF_001867045.1	Corynebacterium pseudotuberculosis
GCF_003288015.1	Streptococcus agalactiae
GCF_008432465.1	Achromobacter xylosoxidans
GCF_002176835.1	Lactobacillus johnsonii
GCF_000819505.1	Aeromonas hydrophila
GCF_004919325.1	Salmonella enterica
GCF_000283635.1	Streptococcus macedonicus
GCF_003991055.1	Bordetella pertussis
GCF_007814525.1	Staphylococcus chromogenes
GCF_001183665.1	Escherichia coli
GCF_002240135.1	Shigella flexneri
GCF_000023865.1	Saccharomonospora viridis
GCF_002208235.1	Mycobacterium tuberculosis
GCF_900105025.1	Olsenella umbonata
GCF_900240095.1	Staphylococcus xylosus
GCF_001648215.1	Klebsiella pneumoniae
GCF_002234455.1	Campylobacter jejuni
GCF_000623175.2	Salmonella enterica
GCF_000577275.2	Rhizobium favelukesii
GCF_000260965.1	Methylophaga frappieri
GCF_000016725.1	Acidiphilium cryptum
GCF_009731485.1	Rickettsia heilongjiangensis
GCF_000953275.1	Clostridioides difficile
GCF_000725405.1	Dermacoccus nishinomiyaensis
GCF_000732925.1	Amycolatopsis japonica
GCF_002211685.1	Enterobacter cloacae
