sample	query	model	description	bitscore	evalue
GCF_000003925.1	BMYCO0001_RS02765	PF13280.6	WYL domain	88.4	1.9e-27
GCF_000003925.1	BMYCO0001_RS04865	PF13280.6	WYL domain	131.2	1.4e-40
GCF_000005825.2	BPOF4_RS04300	PF13280.6	WYL domain	139.7	3.2e-43
GCF_000005825.2	BPOF4_RS08340	PF13280.6	WYL domain	126.3	4.3e-39
GCF_000006605.1	JK_RS04890	PF13280.6	WYL domain	71.0	4e-22
GCF_000006605.1	JK_RS03405	PF18395.1	Cas3 C-terminal domain	91.1	2e-28
GCF_000006605.1	JK_RS03400	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	367.0	5.5e-112
GCF_000006605.1	JK_RS04885	PF13280.6	WYL domain	70.3	6.6e-22
GCF_000006605.1	JK_RS03395	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	105.0	1.5e-32
GCF_000006605.1	JK_RS03385	PF09704.10	CRISPR-associated protein (Cas_Cas5)	175.6	4.3e-54
GCF_000006605.1	JK_RS03380	PF08798.11	CRISPR associated protein	192.8	3.1e-59
GCF_000006605.1	JK_RS10975	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	116.5	1.4e-36
GCF_000006605.1	JK_RS03390	PF09344.10	CT1975-like protein	424.5	1.5e-129
GCF_000006905.1	CC_1095	PF13280.6	WYL domain	116.9	3.2e-36
GCF_000006965.1	SMc00107	PF13280.6	WYL domain	60.5	7e-19
GCF_000006985.1	CT1131	PF01930.17	Domain of unknown function DUF83	110.2	3.7e-34
GCF_000006985.1	CT1132	PF05107.12	CRISPR-associated protein Cas7	364.7	8.7e-112
GCF_000006985.1	CT1133	PF09709.10	CRISPR-associated protein (Cas_Csd1)	541.1	1.1e-164
GCF_000006985.1	CT1972	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	231.8	5.6e-71
GCF_000006985.1	CT1975	PF09344.10	CT1975-like protein	329.3	1.3e-100
GCF_000006985.1	CT1973	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	94.4	2.9e-29
GCF_000006985.1	CT1974	PF08798.11	CRISPR associated protein	111.5	2.1e-34
GCF_000006985.1	CT1129	PF09827.9	CRISPR associated protein Cas2	89.8	3.1e-28
GCF_000006985.1	CT1976	PF09704.10	CRISPR-associated protein (Cas_Cas5)	172.9	2.8e-53
GCF_000006985.1	CT1978	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	83.7	2.5e-26
GCF_000006985.1	CT1134	PF09704.10	CRISPR-associated protein (Cas_Cas5)	114.5	2e-35
GCF_000006985.1	CT1130	PF01867.16	CRISPR associated protein Cas1	336.6	3.4e-103
GCF_000007085.1	TTE_RS12680	PF01881.16	CRISPR associated protein Cas6	138.0	1.1e-42
GCF_000007085.1	TTE_RS12675	PF09623.10	CRISPR-associated protein NE0113 (Cas_NE0113)	194.2	7.3e-60
GCF_000007085.1	TTE_RS12665	PF01881.16	CRISPR associated protein Cas6	133.7	2.5e-41
GCF_000007085.1	TTE_RS12575	PF03787.15	RAMP superfamily	68.4	3.1e-21
GCF_000007085.1	TTE_RS12635	PF01867.16	CRISPR associated protein Cas1	305.8	8.4e-94
GCF_000007085.1	TTE_RS12630	PF09827.9	CRISPR associated protein Cas2	76.7	4.1e-24
GCF_000007085.1	TTE_RS12615	PF12469.8	CRISPR-associated protein	129.6	1.8e-40
GCF_000007085.1	TTE_RS12600	PF09455.10	CRISPR-associated (Cas) DxTHG family	107.3	4.1e-33
GCF_000007085.1	TTE_RS12590	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	316.2	1.2e-96
GCF_000007085.1	TTE_RS12585	PF03787.15	RAMP superfamily	103.8	4.3e-32
GCF_000007085.1	TTE_RS12580	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	104.6	1.3e-32
GCF_000007085.1	TTE_RS12640	PF01930.17	Domain of unknown function DUF83	180.2	1.1e-55
GCF_000007425.1	SPYM3_RS03725	PF16592.5	REC lobe of CRISPR-associated endonuclease Cas9	685.6	1.7e-208
GCF_000007425.1	SPYM3_RS03395	PF09659.10	CRISPR-associated protein (Cas_Csm6)	81.3	1.9e-25
GCF_000007425.1	SPYM3_RS03725	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	177.1	2.1e-54
GCF_000007425.1	SPYM3_RS03735	PF09827.9	CRISPR associated protein Cas2	59.6	8.8e-19
GCF_000007425.1	SPYM3_RS03740	PF09711.10	CRISPR-associated protein (Cas_Csn2)	235.3	1.3e-72
GCF_000007425.1	SPYM3_RS03730	PF01867.16	CRISPR associated protein Cas1	75.4	1.4e-23
GCF_000007465.2	SMU_1763c	PF09704.10	CRISPR-associated protein (Cas_Cas5)	84.6	3e-26
GCF_000007465.2	SMU_1405c	PF16595.5	PAM-interacting domain of CRISPR-associated endonuclease Cas9	164.1	1.9e-50
